Nationalité,Club,Nom,Position,Poste,Note,VIT,TIR,PAS,DRI,DEF,PHY
Espagne,Atlético Madrid,#575 Javi Galán,DG,575,80,79,56,74,79,77,72
Espagne,Valencia CF,#575 Pepelu,MC,575,80,68,70,80,77,75,78
Angleterre,Liverpool,#575 Joe Gomez,DC,575,80,82,28,71,72,80,79
Argentine,Juventus,#575 Nicolás González,AD,575,80,85,76,73,83,45,62
Allemagne,Francfort,#575 Mario Götze,MOC,575,80,55,74,83,83,55,69
Italie,SC Freiburg,#575 Vincenzo Grifo,MG,575,80,69,77,82,81,43,64
Serbie,Sevilla FC,#575 Nemanja Gudelj,DC,575,80,54,73,78,70,79,85
Islande,Fiorentina,#575 Albert Guðmundsson,BU,575,80,87,79,70,83,37,72
France,Latium,#575 Mattéo Guendouzi,MC,575,80,72,71,78,79,75,81
France,Chelsea,#575 Malo Gusto,DD,575,80,88,49,75,78,73,75
Espagne,Girona FC,#575 Miguel Gutiérrez,DG,575,80,81,64,76,80,75,72
Mali,RB Leipzig,#575 Amadou Haidara,MC,575,80,66,72,79,81,72,69
Danemark,OM,#575 Pierre-Emile Højbjerg,MDC,575,80,50,73,76,74,77,80
France,Atlético Madrid,#575 Thomas Lemar,MC,575,80,81,77,81,83,67,64
Argentine,Real Betis,#575 Giovani Lo Celso,MOC,575,80,69,74,81,83,68,71
Espagne,Girona FC,#575 David López,DC,575,80,45,60,71,66,82,75
Angleterre,Man Utd,#575 Harry Maguire,DC,575,80,37,57,70,65,80,82
Mozambique,Atlético Madrid,#575 Reinildo,DG,575,80,84,55,68,75,78,79
Espagne,Girona FC,#575 Iván Martín,MOC,575,80,75,75,79,81,68,63
Serbie,OL,#575 Nemanja Matić,MDC,575,80,35,67,76,76,78,78
Cameroun,Brentford,#575 Bryan Mbeumo,AD,575,80,84,80,74,80,49,76
Argentine,RC Lens,#575 Facundo Medina,DC,575,80,73,36,69,72,80,79
Colombie,Crystal Palace,#575 Daniel Muñoz,DD,575,80,84,66,72,76,75,82
Kosovo,RCD Majorque,#575 Vedat Muriqi,BU,575,80,53,82,63,73,29,82
Espagne,Sevilla FC,#575 Jesús Navas,DD,575,80,81,68,79,80,76,55
Brésil,SSC Napoli,#575 David Neres,MG,575,80,86,75,75,86,43,64
Allemagne,VfB Stuttgart,#575 Alexander Nübel,G,575,80,81,76,81,82,48,78
Croatie,Bergamo Calcio,#575 Mario Pašalić,MC,575,80,69,78,77,81,67,77
Italie,SSC Napoli,#575 Matteo Politano,AD,575,80,80,78,78,83,42,54
Kosovo,SSC Napoli,#575 Amir Rrahmani,DC,575,80,69,51,58,61,82,78
Espagne,Athletic Club,#575 Ruiz de Galarreta,MDC,575,80,72,65,77,79,77,76
Brésil,Aston Villa,#575 Diego Carlos,DC,575,80,63,47,63,67,79,76
France,Montpellier,#575 Téji Savanier,MOC,575,80,60,76,84,82,68,68
Portugal,Real Betis,#575 William Carvalho,MDC,575,80,37,68,78,76,76,84
Iran,Lombardia FC,#575 Mehdi Taremi,BU,575,80,78,79,75,81,38,73
Angleterre,Everton,#575 James Tarkowski,DC,575,80,47,45,64,59,81,81
France,West Ham,#575 Jean-Clair Todibo,DC,575,80,81,47,64,69,80,78
Espagne,FC Barcelona,#575 Ferran Torres,AG,575,80,84,78,76,81,35,68
Mali,Real Sociedad,#575 Hamari Traoré,DD,575,80,82,57,72,76,75,78
Portugal,RB Leipzig,#575 André Silva,BU,575,80,74,80,71,81,46,77
France,OL,#575 Jordan Veretout,MC,575,80,75,75,78,79,75,80
Allemagne,Spurs,#575 Timo Werner,MG,575,80,91,79,69,80,35,69
Pays-Bas,Brighton,#575 Mats Wieffer,MDC,575,80,70,66,74,75,76,83
Belgique,Atlético Madrid,#575 Axel Witsel,DC,575,80,34,63,77,75,83,75
France,Paris SG,#575 Warren Zaïre-Emery,MC,575,80,79,68,77,80,75,78
Cameroun,SSC Napoli,#575 André-Franck Zambo Anguissa,MDC,575,80,75,67,71,76,77,88
Espagne,Real Sociedad,#575 Zubeldia,DC,575,80,78,63,74,73,80,82
Allemagne,Borussia Dortmund,#734 Karim Adeyemi,MG,734,79,96,73,71,81,34,70
Maroc,Real Sociedad,#734 Nayef Aguerd,DC,734,79,67,50,64,64,81,75
Algérie,Wolves,#734 Rayan Aït-Nouri,DG,734,79,84,52,73,82,73,70
Espagne,Villarreal CF,#734 Raúl Albiol,DC,734,79,33,41,62,63,83,67
Espagne,AFC Bournemouth,#734 Kepa,G,734,79,78,77,83,82,40,77
Italie,Côme,#734 Emil Audero,G,734,79,80,74,73,83,53,76
Argentine,Real Betis,#734 Ezequiel Ávila,BU,734,79,77,80,65,77,45,85
Espagne,Atlético Madrid,#734 Azpilicueta,DC,734,79,59,55,76,72,81,74
Espagne,Villarreal CF,#734 Álex Baena,MG,734,79,74,75,80,78,65,67
Argentine,OM,#734 Leonardo Balerdi,DC,734,79,64,45,62,68,80,77
Espagne,Athletic Club,#734 Yuri Berchiche,DG,734,79,79,68,74,75,77,83
Italie,Fiorentina,#734 Cristiano Biraghi,DG,734,79,72,69,78,76,76,73
Pays-Bas,Stade Brestois 29,#734 Marco Bizot,G,734,79,79,76,72,80,46,79
France,FC Bayern München,#734 Sacha Boey,DD,734,79,82,55,66,77,78,80
Angleterre,Everton,#734 Jarrad Branthwaite,DC,734,79,71,37,53,59,79,77
Pologne,OGC Nice,#734 Marcin Bułka,G,734,79,79,76,71,81,27,79
Brésil,Wolves,#734 Matheus Cunha,BU,734,79,84,78,76,83,44,75
Pologne,Aston Villa,#734 Matty Cash,DD,734,79,77,66,71,75,75,76
Argentine,Latium,#734 Valentin Castellanos,BU,734,79,72,79,69,75,42,77
Espagne,CA Osasuna,#734 Catena,DC,734,79,65,39,63,53,80,78
Espagne,Real Madrid,#734 Dani Ceballos,MC,734,79,63,70,79,82,70,67
Angleterre,Chelsea,#734 Ben Chilwell,DG,734,79,76,60,78,77,75,72
Brésil,OGC Nice,#734 Dante,DC,734,79,32,52,69,65,81,79
Belgique,Bergamo Calcio,#734 Charles De Ketelaere,MOC,734,79,69,77,78,81,55,70
Pays-Bas,Bergamo Calcio,#734 Marten de Roon,MC,734,79,64,71,75,75,82,83
France,Stade Brestois 29,#734 Romain Del Castillo,AD,734,79,84,76,78,81,42,65
Bosnie-Herzégovine,VfB Stuttgart,#734 Ermedin Demirović,BU,734,79,69,81,72,77,41,79
Sénégal,Latium,#734 Boulaye Dia,BU,734,79,81,80,62,77,27,75
Brésil,Atlético Madrid,#734 Samuel Lino,MG,734,79,83,70,73,80,51,66
France,Aston Villa,#734 Lucas Digne,DG,734,79,73,68,78,76,76,74
Macédoine du Nord,Valencia CF,#734 Stole Dimitrievski,G,734,79,78,80,74,79,36,78
France,Chelsea,#734 Axel Disasi,DC,734,79,57,48,60,59,80,81
Mali,Crystal Palace,#734 Cheick Doucouré,MDC,734,79,65,57,70,75,76,76
Angleterre,Brighton,#734 Lewis Dunk,DC,734,79,41,52,68,65,80,80
Espagne,Valencia CF,#734 Hugo Duro,BU,734,79,73,79,67,76,47,75
Italie,AS Roma,#734 Stephan El Shaarawy,MG,734,79,82,75,76,83,49,62
Macédoine du Nord,RB Leipzig,#734 Eljif Elmas,MOC,734,79,73,72,74,82,66,67
Espagne,Real Sociedad,#734 Aritz Elustondo,DD,734,79,64,39,64,61,80,77
Écosse,Bologne,#734 Lewis Ferguson,MC,734,79,75,78,75,80,73,82
Pays-Bas,Brentford,#734 Mark Flekken,G,734,79,80,74,83,82,32,77
Allemagne,VfB Stuttgart,#734 Chris Führich,MG,734,79,83,69,72,85,51,59
Espagne,Rayo Vallecano,#734 Álvaro García,MG,734,79,88,69,75,78,51,43
Argentine,Man Utd,#734 Alejandro Garnacho,MG,734,79,86,75,72,81,37,59
Pays-Bas,RB Leipzig,#734 Lutsharel Geertruida,DC,734,79,75,57,70,76,79,78
Angleterre,Notting. Forest,#734 Morgan Gibbs-White,MOC,734,79,75,74,79,80,57,69
Espagne,CA Osasuna,#734 Moi Gómez,MC,734,79,66,75,80,78,61,61
Portugal,Paris SG,#734 João Neves,MC,734,79,81,68,75,80,75,80
Allemagne,Fiorentina,#734 Robin Gosens,DG,734,79,72,74,73,75,76,80
Angleterre,OM,#734 Mason Greenwood,MD,734,79,83,80,75,81,36,60
Espagne,Athletic Club,#734 Guruzeta,BU,734,79,75,79,71,78,42,80
Côte d'Ivoire,CD Leganés,#734 Sébastien Haller,BU,734,79,56,79,63,75,51,73
Angleterre,Crystal Palace,#734 Dean Henderson,G,734,79,80,76,78,81,55,75
France,M'gladbach,#734 Franck Honorat,MD,734,79,80,77,77,78,53,63
Japon,FC Bayern München,#734 Hiroki Ito,DC,734,79,77,57,71,72,80,75
Sénégal,Chelsea,#734 Nicolas Jackson,BU,734,79,83,78,65,80,40,73
Angleterre,Liverpool,#734 Curtis Jones,MC,734,79,68,71,75,81,70,75
Serbie,Milano FC,#734 Luka Jović,BU,734,79,75,79,68,79,30,72
Allemagne,RB Leipzig,#734 Lukas Klostermann,DC,734,79,82,50,64,70,81,76
Allemagne,Francfort,#734 Robin Koch,DC,734,79,65,38,61,65,80,76
Bosnie-Herzégovine,Bergamo Calcio,#734 Sead Kolašinac,DC,734,79,64,63,67,68,79,83
République centrafricaine,OM,#734 Geoffrey Kondogbia,MC,734,79,67,71,75,75,80,88
Italie,Latium,#734 Manuel Lazzari,DD,734,79,93,62,76,82,70,66
Corée du Sud,Paris SG,#734 Lee Kang In,MOC,734,79,74,74,80,82,50,66
France,Stade Brestois 29,#734 Pierre Lees-Melou,MDC,734,79,62,72,78,77,73,76
Gabon,Wolves,#734 Mario Lemina,MDC,734,79,69,67,75,75,78,80
Colombie,Crystal Palace,#734 Jefferson Lerma,MDC,734,79,72,71,71,74,77,81
Autriche,SC Freiburg,#734 Philipp Lienhart,DC,734,79,69,28,59,64,81,75
Portugal,Chelsea,#734 Pedro Neto,AD,734,79,88,74,72,83,31,59
Portugal,OL,#734 Anthony Lopes,G,734,79,80,76,69,83,65,76
Espagne,Girona FC,#734 Pau López,G,734,79,77,77,79,82,48,80
France,RB Leipzig,#734 Castello Lukeba,DC,734,79,70,43,68,73,80,73
Belgique,Sevilla FC,#734 Dodi Lukébakio,AD,734,79,84,78,70,82,31,59
Espagne,Chelsea,#734 Robert Sánchez,G,734,79,79,77,75,80,58,79
Pays-Bas,Aston Villa,#734 Ian Maatsen,DG,734,79,86,65,75,81,72,63
Argentine,RCD Majorque,#734 Pablo Maffeo,DD,734,79,82,52,70,79,76,70
Portugal,Wolves,#734 José Sá,G,734,79,80,75,70,81,52,78
Égypte,Francfort,#734 Omar Marmoush,BU,734,79,89,78,66,83,32,71
Espagne,Girona FC,#734 Arnau Martínez,DD,734,79,80,50,72,74,74,70
Monténégro,Latium,#734 Adam Marušić,DG,734,79,87,66,67,74,76,80
France,Crystal Palace,#734 Jean-Philippe Mateta,BU,734,79,76,78,63,73,39,82
Espagne,Getafe CF,#734 Borja Mayoral,BU,734,79,71,80,71,77,39,67
RD Congo,OM,#734 Chancel Mbemba,DC,734,79,73,57,65,68,80,81
Serbie,Notting. Forest,#734 Nikola Milenković,DC,734,79,58,45,62,62,79,82
Japon,AS Monaco,#734 Takumi Minamino,MOC,734,79,79,74,75,82,40,64
Angleterre,Aston Villa,#734 Tyrone Mings,DC,734,79,64,44,67,64,78,80
Allemagne,VfB Stuttgart,#734 Maximilian Mittelstädt,DG,734,79,74,62,72,77,77,72
Espagne,Notting. Forest,#734 Álex Moreno,DG,734,79,79,66,74,77,76,68
France,Leverkusen,#734 Nordi Mukiele,DD,734,79,77,49,68,71,80,80
Argentine,Atlético Madrid,#734 Juan Musso,G,734,79,79,77,73,82,44,81
Danemark,Brighton,#734 Matt O'Riley,MC,734,79,69,77,80,77,67,76
Suisse,M'gladbach,#734 Jonas Omlin,G,734,79,79,77,76,82,52,75
Espagne,Villarreal CF,#734 Ayoze Pérez,MG,734,79,78,73,76,82,58,65
Italie,Juventus,#734 Mattia Perin,G,734,79,79,79,71,81,57,79
Italie,Monza,#734 Matteo Pessina,MC,734,79,68,70,77,78,72,71
Serbie,Strasbourg,#734 Đorđe Petrović,G,734,79,79,78,73,81,41,77
Jamaïque,Brentford,#734 Ethan Pinnock,DC,734,79,67,36,56,61,81,83
Espagne,Villarreal CF,#734 Yeremy Pino,MG,734,79,76,73,76,79,38,46
Portugal,Paris SG,#734 Gonçalo Ramos,BU,734,79,76,77,64,77,47,81
États-Unis,Fulham,#734 Antonee Robinson,DG,734,79,88,46,71,77,74,77
Espagne,Girona FC,#734 Oriol Romeu,MDC,734,79,40,54,68,67,79,81
France,OM,#734 Valentin Rongier,MDC,734,79,65,65,75,78,75,78
Danemark,Union Berlin,#734 Frederik Rønnow,G,734,79,79,79,69,81,47,78
Argentine,OM,#734 Gerónimo Rulli,G,734,79,78,76,80,81,54,79
Norvège,Borussia Dortmund,#734 Julian Ryerson,DD,734,79,75,63,70,76,76,80
Sénégal,Spurs,#734 Pape Matar Sarr,MDC,734,79,70,65,75,78,76,75
Italie,Bergamo Calcio,#734 Gianluca Scamacca,BU,734,79,65,81,67,74,36,74
Pays-Bas,Torino,#734 Perr Schuurs,DC,734,79,69,64,74,69,81,74
Slovénie,RB Leipzig,#734 Benjamin Šeško,BU,734,79,85,78,63,77,46,78
Portugal,SSC Napoli,#734 Mário Rui,DG,734,79,80,56,77,80,74,68
Côte d'Ivoire,AS Monaco,#734 Wilfried Singo,DC,734,79,77,57,70,73,77,83
Pologne,Bologne,#734 Łukasz Skorupski,G,734,79,79,76,68,83,51,78
République tchèque,West Ham,#734 Tomáš Souček,MDC,734,79,50,72,71,68,80,83
Italie,SSC Napoli,#734 Leonardo Spinazzola,MG,734,79,88,65,74,79,76,69
Italie,Fiorentina,#734 Pietro Terracciano,G,734,79,80,77,73,83,41,79
France,Leverkusen,#734 Martin Terrier,BU,734,79,82,80,75,79,36,72
Écosse,Arsenal,#734 Kieran Tierney,DG,734,79,80,60,75,77,76,75
Pays-Bas,Arsenal,#734 Jurriën Timber,DC,734,79,78,47,67,76,80,78
Italie,Bergamo Calcio,#734 Rafael Tolói,DC,734,79,61,52,58,64,81,79
Croatie,Torino,#734 Nikola Vlašić,MOC,734,79,75,76,76,82,58,72
Angleterre,West Ham,#734 Aaron Wan-Bissaka,DD,734,79,82,51,68,77,77,72
Angleterre,Notting. Forest,#734 James Ward-Prowse,MC,734,79,57,73,86,75,66,72
Allemagne,M'gladbach,#734 Julian Weigl,MDC,734,79,54,64,76,75,74,73
RD Congo,Brentford,#734 Yoane Wissa,AG,734,79,85,79,70,79,29,71
Suisse,AS Monaco,#734 Denis Zakaria,MDC,734,79,80,67,72,76,78,84
Italie,Bergamo Calcio,#734 Davide Zappacosta,DG,734,79,76,68,74,75,76,70
Kosovo,LOSC Lille,#734 Edon Zhegrova,MD,734,79,85,71,76,82,25,62
Ukraine,Arsenal,#734 Oleksandr Zinchenko,DG,734,79,66,66,83,82,76,69
Pays-Bas,Man Utd,#734 Joshua Zirkzee,BU,734,79,73,77,72,83,37,73
Brésil,Lombardia FC,#734 Carlos Augusto,MG,734,79,81,72,77,80,75,80
Arabie saoudite,AS Roma,#967 Saud Abdulhamid,DD,967,78,92,46,67,72,71,77
Angleterre,Milano FC,#967 Tammy Abraham,BU,967,78,78,76,65,75,36,77
Angleterre,Chelsea,#967 Tosin Adarabioyo,DC,967,78,72,35,63,63,78,78
Maroc,Leverkusen,#967 Amine Adli,BU,967,78,83,76,69,82,42,74
Ghana,Celta Vigo,#967 Joseph Aidoo,DC,967,78,75,27,47,50,77,88
Paraguay,Newcastle Utd,#967 Miguel Almirón,AD,967,78,87,75,73,80,57,65
Allemagne,1. FSV Mainz 05,#967 Nadiem Amiri,MC,967,78,67,74,80,82,60,69
Jamaïque,West Ham,#967 Michail Antonio,BU,967,78,77,74,72,76,54,82
Uruguay,Getafe CF,#967 Mauro Arambarri,MDC,967,78,60,65,72,74,78,78
France,Chelsea,#967 Benoît Badiashile,DC,967,78,62,47,67,60,78,77
Portugal,Leicester City,#967 Ricardo Pereira,DD,967,78,73,66,76,77,77,71
France,OGC Nice,#967 Melvin Bard,DG,967,78,78,52,69,74,75,76
Angleterre,Aston Villa,#967 Ross Barkley,MC,967,78,53,75,78,77,63,74
Espagne,Real Betis,#967 Marc Bartra,DC,967,78,68,61,71,72,78,75
Allemagne,Borussia Dortmund,#967 Maximilian Beier,BU,967,78,89,79,65,79,26,60
Italie,Côme,#967 Andrea Belotti,BU,967,78,69,77,58,75,38,80
Espagne,Celta Vigo,#967 Fran Beltrán,MDC,967,78,58,56,77,75,76,66
Algérie,OL,#967 Saïd Benrahma,AG,967,78,73,75,75,82,40,57
Algérie,Borussia Dortmund,#967 Ramy Bensebaini,DG,967,78,75,70,70,75,78,77
Algérie,LOSC Lille,#967 Nabil Bentaleb,MDC,967,78,52,72,77,79,71,75
Allemagne,TSG Hoffenheim,#967 Mergim Berisha,BU,967,78,71,79,72,75,37,72
France,OM,#967 Lilian Brassier,DC,967,78,69,37,65,69,79,75
Croatie,CA Osasuna,#967 Ante Budimir,BU,967,78,59,79,52,74,35,77
Argentine,Aston Villa,#967 Emiliano Buendía,MD,967,78,69,74,80,82,66,66
Angleterre,Newcastle Utd,#967 Dan Burn,DC,967,78,42,36,67,63,77,84
Portugal,Wolves,#967 Nélson Semedo,DD,967,78,80,56,69,78,74,73
Italie,Arsenal,#967 Riccardo Calafiori,DC,967,78,69,65,70,72,78,77
France,OL,#967 Maxence Caqueret,MC,967,78,75,62,75,79,75,73
Angleterre,Crystal Palace,#967 Trevoh Chalobah,DC,967,78,67,50,67,67,78,78
Italie,Fiorentina,#967 Andrea Colpani,MOC,967,78,76,76,78,78,65,70
Brésil,Notting. Forest,#967 Murillo,DC,967,78,72,43,61,67,78,82
République tchèque,West Ham,#967 Vladimír Coufal,DD,967,78,65,56,72,73,77,80
Angleterre,Chelsea,#967 Kiernan Dewsbury-Hall,MC,967,78,67,71,77,78,69,77
Albanie,Bergamo Calcio,#967 Berat Djimsiti,DC,967,78,65,39,59,48,80,79
Serbie,CD Leganés,#967 Marko Dmitrović,G,967,78,76,77,78,78,37,79
Japon,SC Freiburg,#967 Ritsu Doan,MD,967,78,78,64,74,83,40,60
Pays-Bas,Union Berlin,#967 Danilho Doekhi,DC,967,78,58,42,59,65,78,80
Angleterre,Liverpool,#967 Harvey Elliott,MOC,967,78,74,71,77,81,53,50
Danemark,Man Utd,#967 Christian Eriksen,MC,967,78,50,74,83,76,53,50
Uruguay,Rayo Vallecano,#967 Alfonso Espino,DG,967,78,87,63,68,73,75,82
Brésil,OL,#967 Lucas Perri,G,967,78,81,73,80,81,35,75
Portugal,Juventus,#967 Francisco Conceição,MD,967,78,87,67,71,83,36,50
France,Chelsea,#967 Wesley Fofana,DC,967,78,67,40,60,65,80,75
Pologne,RC Lens,#967 Przemysław Frankowski,DD,967,78,90,72,75,76,70,73
Espagne,FC Barcelona,#967 Eric García,DC,967,78,62,44,70,70,80,71
Espagne,CA Osasuna,#967 Rubén García,MD,967,78,76,76,79,78,45,52
Espagne,Real Madrid,#967 Fran García,DG,967,78,89,49,69,77,71,69
Italie,Juventus,#967 Federico Gatti,DC,967,78,75,37,51,61,80,76
Brésil,Wolves,#967 João Gomes,MDC,967,78,70,65,72,74,76,75
Espagne,UD Las Palmas,#967 Campaña,MC,967,78,65,72,81,79,68,71
Brésil,LOSC Lille,#967 Ismaily,DG,967,78,76,64,73,78,73,75
Algérie,Stade Rennais FC,#967 Amine Gouiri,MG,967,78,77,80,75,79,45,71
France,RC Lens,#967 Jonathan Gradit,DC,967,78,69,29,63,69,78,79
Pays-Bas,Liverpool,#967 Ryan Gravenberch,MC,967,78,71,76,77,81,68,73
Autriche,SC Freiburg,#967 Michael Gregoritsch,BU,967,78,53,79,70,70,42,76
Espagne,Celta Vigo,#967 Guaita,G,967,78,78,77,78,78,48,77
Turquie,Real Madrid,#967 Arda Güler,MOC,967,78,72,73,80,82,52,50
Allemagne,SC Freiburg,#967 Christian Günter,DG,967,78,78,58,70,71,74,82
Espagne,Athletic Club,#967 Ander Herrera,MC,967,78,59,71,78,78,79,74
Espagne,CA Osasuna,#967 Sergio Herrera,G,967,78,78,77,75,78,47,76
Suède,Bergamo Calcio,#967 Isak Hien,DC,967,78,70,37,49,56,78,78
Brésil,Fulham,#967 Andreas Pereira,MOC,967,78,74,77,80,78,66,69
Danemark,Man Utd,#967 Rasmus Højlund,BU,967,78,85,77,59,74,33,84
Corée du Sud,Wolves,#967 Hwang Hee Chan,BU,967,78,84,77,70,78,39,74
Espagne,Celta Vigo,#967 Borja Iglesias,BU,967,78,62,80,66,74,40,77
Japon,Stade de Reims,#967 Junya Ito,MD,967,78,87,69,74,79,58,68
Espagne,Real Betis,#967 Juanmi,MG,967,78,78,77,71,80,31,62
Pays de Galles,Spurs,#967 Brennan Johnson,MD,967,78,89,74,72,78,43,59
Angleterre,Wolves,#967 Sam Johnstone,G,967,78,79,79,69,80,41,76
Espagne,D. Alavés,#967 Joan Jordán,MC,967,78,54,75,78,75,69,75
France,Juventus,#967 Pierre Kalulu,DC,967,78,78,50,68,69,79,74
Slovénie,RB Leipzig,#967 Kevin Kampl,MC,967,78,52,66,79,81,64,59
Italie,Fiorentina,#967 Moise Kean,BU,967,78,84,76,58,76,40,75
France,OGC Nice,#967 Gaëtan Laborde,AD,967,78,70,79,76,79,40,79
Suède,Man Utd,#967 Victor Lindelöf,DC,967,78,52,51,73,72,80,74
Angleterre,Newcastle Utd,#967 Tino Livramento,DD,967,78,83,50,70,79,74,73
Portugal,Manchester City,#967 Matheus Nunes,MC,967,78,83,71,74,81,73,76
Angleterre,Chelsea,#967 Noni Madueke,MD,967,78,90,72,72,82,38,67
Danemark,VfL Wolfsburg,#967 Joakim Mæhle,DD,967,78,76,57,71,74,73,78
Croatie,VfL Wolfsburg,#967 Lovro Majer,MC,967,78,62,73,80,83,60,71
France,Stade Rennais FC,#967 Steve Mandanda,G,967,78,75,77,74,79,49,77
Angleterre,Brighton,#967 Solly March,MD,967,78,75,71,76,79,67,65
Grèce,West Ham,#967 Konstantinos Mavropanos,DC,967,78,74,56,54,59,79,82
États-Unis,Juventus,#967 Weston McKennie,MC,967,78,76,73,77,78,79,80
Écosse,SSC Napoli,#967 Scott McTominay,MDC,967,78,55,78,71,73,75,84
Angleterre,Brentford,#967 Ben Mee,DC,967,78,45,42,54,57,82,76
Espagne,CA Osasuna,#967 Moncayola,MC,967,78,64,67,75,78,73,70
Angleterre,Man Utd,#967 Mason Mount,MC,967,78,70,77,81,79,61,65
Brésil,Arsenal,#967 Neto,G,967,78,80,72,73,82,53,76
Brésil,Sevilla FC,#967 Marcão,DC,967,78,63,36,60,70,78,85
Nigeria,Leicester City,#967 Wilfred Ndidi,MDC,967,78,65,65,73,74,75,80
Espagne,Sevilla FC,#967 Saúl,MC,967,78,69,75,76,77,77,75
Angola,RC Lens,#967 M'Bala Nzola,BU,967,78,88,74,60,75,29,82
Suisse,Milano FC,#967 Noah Okafor,BU,967,78,88,77,72,83,31,73
Brésil,AS Monaco,#967 Caio Henrique,DG,967,78,77,58,78,78,72,66
Belgique,Aston Villa,#967 Amadou Onana,MDC,967,78,72,59,71,72,76,79
Équateur,Paris SG,#967 Willian Pacho,DC,967,78,79,32,58,61,79,79
Italie,West Ham,#967 Emerson,DG,967,78,79,63,75,78,73,65
Argentine,AS Roma,#967 Leandro Paredes,MC,967,78,62,64,83,78,71,77
Espagne,Villarreal CF,#967 Pedraza,DG,967,78,79,72,72,76,74,75
Côte d'Ivoire,Villarreal CF,#967 Nicolas Pépé,MD,967,78,87,76,74,81,36,64
Autriche,Bologne,#967 Stefan Posch,DD,967,78,75,55,68,65,79,75
Angleterre,Aston Villa,#967 Jacob Ramsey,MG,967,78,78,75,73,80,68,74
Italie,SSC Napoli,#967 Giacomo Raspadori,MOC,967,78,79,77,68,82,27,56
Portugal,Valencia CF,#967 Thierry Correia,DD,967,78,92,50,70,77,72,71
France,Toulouse FC,#967 Guillaume Restes,G,967,78,78,74,80,80,40,77
Espagne,Getafe CF,#967 Diego Rico,DG,967,78,73,55,78,73,77,77
Espagne,Atlético Madrid,#967 Riquelme,MG,967,78,78,75,75,81,49,52
Espagne,Real Betis,#967 Marc Roca,MDC,967,78,61,65,75,74,72,73
Espagne,UD Las Palmas,#967 Kirian,MC,967,78,68,75,75,77,72,73
Italie,Latium,#967 Nicolò Rovella,MC,967,78,77,63,76,77,75,73
Australie,AS Roma,#967 Mathew Ryan,G,967,78,76,78,80,79,52,77
Belgique,AS Roma,#967 Alexis Saelemaekers,MG,967,78,80,67,75,81,64,64
Italie,Bergamo Calcio,#967 Giorgio Scalvini,DC,967,78,55,35,57,61,80,73
Argentine,AFC Bournemouth,#967 Marcos Senesi,DC,967,78,57,42,70,72,79,77
Espagne,West Ham,#967 Carlos Soler,MC,967,78,75,75,79,78,70,71
Suisse,Sevilla FC,#967 Djibril Sow,MC,967,78,79,69,75,77,75,78
Allemagne,VfB Stuttgart,#967 Angelo Stiller,MDC,967,78,58,57,78,78,73,69
Argentine,OL,#967 Nicolás Tagliafico,DG,967,78,76,56,70,75,76,79
Malte,Stade de Reims,#967 Teddy Teuma,MC,967,78,67,78,79,77,72,76
Pays-Bas,AS Monaco,#967 Jordan Teze,DD,967,78,78,49,70,68,77,78
Allemagne,Milano FC,#967 Malick Thiaw,DC,967,78,73,47,69,72,77,78
France,Juventus,#967 Khéphren Thuram,MC,967,78,71,71,77,78,76,78
Japon,Arsenal,#967 Takehiro Tomiyasu,DD,967,78,69,33,67,72,80,80
Turquie,AFC Bournemouth,#967 Enes Ünal,BU,967,78,67,80,68,77,40,80
Uruguay,Latium,#967 Matías Vecino,MC,967,78,58,73,75,76,79,79
Angleterre,Crystal Palace,#967 Adam Wharton,MDC,967,78,68,61,78,78,75,71
Danemark,VfL Wolfsburg,#967 Jonas Wind,BU,967,78,48,79,72,77,37,78
France,Man Utd,#967 Leny Yoro,DC,967,78,73,41,59,61,79,73
Italie,Bergamo Calcio,#967 Nicolò Zaniolo,MD,967,78,75,76,74,76,60,83
États-Unis,AFC Bournemouth,#1214 Tyler Adams,MDC,1214,77,77,50,68,72,77,74
France,Fiorentina,#1214 Yacine Adli,MDC,1214,77,70,69,80,77,71,70
Côte d'Ivoire,Stade de Reims,#1214 Emmanuel Agbadou,DC,1214,77,63,47,55,60,76,83
Espagne,Athletic Club,#1214 Agirrezabala,G,1214,77,78,75,73,75,32,79
France,RC Lens,#1214 Ruben Aguilar,DD,1214,77,71,53,70,75,73,76
Paraguay,Getafe CF,#1214 Omar Alderete,DC,1214,77,63,61,62,69,78,78
France,Sevilla FC,#1214 Loïc Badé,DC,1214,77,55,45,56,63,77,77
Allemagne,VfL Wolfsburg,#1214 Ridle Baku,DD,1214,77,82,72,73,81,71,76
Albanie,Rayo Vallecano,#1214 Iván Balliu,DD,1214,77,81,51,70,74,72,71
États-Unis,AS Monaco,#1214 Folarin Balogun,BU,1214,77,84,77,62,77,23,69
Côte d'Ivoire,Celta Vigo,#1214 Jonathan Bamba,MG,1214,77,83,73,73,79,39,67
Pays-Bas,Bologne,#1214 Sam Beukema,DC,1214,77,49,55,60,62,78,76
Danemark,AFC Bournemouth,#1214 Philip Billing,MC,1214,77,50,77,73,73,72,80
Allemagne,Lombardia FC,#1214 Yann Aurel Bisseck,DC,1214,77,75,54,63,70,76,83
France,Stade Rennais FC,#1214 Ludovic Blas,MD,1214,77,73,77,76,79,58,64
Côte d'Ivoire,OGC Nice,#1214 Jérémie Boga,AG,1214,77,85,70,72,82,39,64
